ID,Name,Concepticon_ID,Concepticon_Gloss,French_Gloss,Latin_Gloss,Number
Gauchat-1925-480-1_ilfait,It is,,,Il fait,facit,1
Gauchat-1925-480-2_chaud,hot,1286,HOT,chaud,caldu,2
Gauchat-1925-480-3_aujourdhui,today,1283,TODAY,aujourd‘hui,hŏdie,3
Gauchat-1925-480-4_cest,This is,,,C’est,est,4
Gauchat-1925-480-5_unbon,a good,,,un bon,bŏnu,5
Gauchat-1925-480-6_temps,weather,952,WEATHER,temps,tĕmpus,6
Gauchat-1925-480-7_une,A (feminine),,,Une,ūna,7
Gauchat-1925-480-8_bonne,good (feminine),,,bonne,bŏna,8
Gauchat-1925-480-9_saison,season,691,SEASON,saison,satiōne,9
Gauchat-1925-480-10_ilpleut,It rains,,,Il pleut,plŏvet,10
Gauchat-1925-480-11_chaque,each,3416,EVERY (EACH),chaque,cata + quisque,11
Gauchat-1925-480-12_jour,day,1225,DAY (NOT NIGHT),jour,diŭrnu,12
Gauchat-1925-480-13_hier,yesterday,1174,YESTERDAY,hier,hĕri,13
Gauchat-1925-480-14_ilyavait,there was,,,il y avait,habēbat,14
Gauchat-1925-480-15_peude,little,1242,FEW,peu de,paucu,15
Gauchat-1925-480-16_rosee,dew,1977,DEW,rosée,rosata,16
Gauchat-1925-480-17_ilfaisait,It was,,,Il faisait,faciēbat,17
Gauchat-1925-480-18_froid,cold,1287,COLD,froid,frĭgidu,18
Gauchat-1925-480-19_lamatinee,The morning,1339,MORNING,La matinée,matutinata,19
Gauchat-1925-480-20_etait,was,,,était,ĕrat (ĕst + ēbat),20
Gauchat-1925-480-21_froide,cold (feminine),,,froide,frĭgida,21
Gauchat-1925-480-22_lesmatinees,The mornings,,,Les matinées,matutinatas,22
Gauchat-1925-480-23_sont,are,,,sont,sŭnt,23
Gauchat-1925-480-24_froides,cold (feminine plural),,,froides,frĭgidas,24
Gauchat-1925-480-25_lagelee,The frost,2034,FROST,La gelée,gelata,25
Gauchat-1925-480-26_estdangereuse,is dangerous (feminine),,,est dangereuse,dominiariu + ōsas,26
Gauchat-1925-480-27_lesgelees,The frosts,,,Les gelées,gelatas,27
Gauchat-1925-480-28_sontdangereuses,are dangerous,,,sont dangereuses,dominiariu + ōsas,28
Gauchat-1925-480-29_lanuit,The night,1233,NIGHT,La nuit,nŏcte,29
Gauchat-1925-480-30_onvoit,one sees,,,on voit,hŏmo vĭdet,30
Gauchat-1925-480-31_lalune,the moon,1313,MOON,la lune,lūna,31
Gauchat-1925-480-32_lesetoiles,the stars,1430,STAR,les étoiles,stēllas,32
Gauchat-1925-480-33_ilnefautpas,One does not have,,,Il ne faut pas,fallit,33
Gauchat-1925-480-34_avoir,to have,773,HAVE,avoir,habēre,34
Gauchat-1925-480-35_peur,fear,781,FEAR (FRIGHT),peur,pavōre,35
Gauchat-1925-480-36_dutonnerre,from the thunder,,,du tonnerre,tonĭtru,36
Gauchat-1925-480-37_aumois,In the month,,,Au mois,mēse,37
Gauchat-1925-480-38_defevrier,of February,,,de février,febrariu,38
Gauchat-1925-480-39_ilya,there is,2152,THERE IS OR THERE ARE,il y a,habet,39
Gauchat-1925-480-40_delaneige,snow,784,SNOW,de la neige,nĭve,40
Gauchat-1925-480-41_delaglace,ice,617,ICE,de la glace,glacia,41
Gauchat-1925-480-42_ilfait,It is (2),,,Il fait,facit,42
Gauchat-1925-480-43_duvent,some wind,,,du vent,vĕntu (aura),43
Gauchat-1925-480-44_lhiver,Winter,1471,WINTER,L’hiver,hibĕrnu,44
Gauchat-1925-480-45_arrive,arrives,,,arrive,adrīpat,45
Gauchat-1925-480-46_ilestla,It is there,,,Il est là,illac,46
Gauchat-1925-480-47_jedois,I must,,,Je dois,debēo,47
Gauchat-1925-480-48_descendre,go down,2014,GO DOWN (DESCEND),descendre,descĕndere,48
Gauchat-1925-480-49_enville,in the city,,,en ville,vīlla,49
Gauchat-1925-480-50_ilfaut,It is necessary,,,Il faut,fallit,50
Gauchat-1925-480-51_suivre,to follow,1085,FOLLOW,suivre,sĕquere,51
Gauchat-1925-480-52_lesentier,the path,2252,PATH,le sentier,semitariu,52
Gauchat-1925-480-53_jusqua,until,2753,UNTIL,jusqu’à,tantu + que,53
Gauchat-1925-480-54_lacroisee,the crossing,,,la croisée,cruciata,54
Gauchat-1925-480-55_traverser,to cross,1742,TRAVERSE,traverser,transversare,55
Gauchat-1925-480-56_lechamp,the field,212,FIELD,le champ,campu,56
Gauchat-1925-480-57_lepre,the meadow,2819,GRASSLAND,le pré,pratu,57
Gauchat-1925-480-58_passer,to pass,558,PASS BY,passer,passare,58
