ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Alt_Transcription,Concept_ID,Form_ID
1-Chevroux,Chevroux,jə fa̠ː tsoː wɛ̆,,,Il fait chaud aujourd‘hui,,,,yė fā tsṓ wĕ̀,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Chevroux-Gauchat-1925-480-1_ilfait-1 Chevroux-Gauchat-1925-480-2_chaud-1 Chevroux-Gauchat-1925-480-3_aujourdhui-1
1-VillarsleTerroir,VillarsleTerroir,jə fa̠ː bɛ̃ĩ͉ tso wə,,,Il fait chaud aujourd‘hui,,,,yė fā bè̃ĩ̱ tsó wė,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,VillarsleTerroir-Gauchat-1925-480-1_ilfait-1 VillarsleTerroir-Gauchat-1925-480-2_chaud-1 VillarsleTerroir-Gauchat-1925-480-3_aujourdhui-1
1-Prahins,Prahins,jə fa̠ː tso wə,,,Il fait chaud aujourd‘hui,,,,yė fā tsó wė,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Prahins-Gauchat-1925-480-1_ilfait-1 Prahins-Gauchat-1925-480-2_chaud-1 Prahins-Gauchat-1925-480-3_aujourdhui-1
1-Montpreveyres,Montpreveyres,jə fa̠ː tsŏ wa̠ː,,,Il fait chaud aujourd‘hui,,,,yė fā tsŏ́ wā,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Montpreveyres-Gauchat-1925-480-1_ilfait-1 Montpreveyres-Gauchat-1925-480-2_chaud-1 Montpreveyres-Gauchat-1925-480-3_aujourdhui-1
1-Charnex,Charnex,ĭ fɑ̝ː tsoː wĕ̞,,,Il fait chaud aujourd‘hui,,,,ĭ faͦ̄ tsṓ wĕ,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Charnex-Gauchat-1925-480-1_ilfait-1 Charnex-Gauchat-1925-480-2_chaud-1 Charnex-Gauchat-1925-480-3_aujourdhui-1
1-Roche,Roche,ĭ fɑ̝ː tso wɑ̆ɛ͉,,,Il fait chaud aujourd‘hui,,,,ĭ faͦ̄ tsó wắè̱,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Roche-Gauchat-1925-480-1_ilfait-1 Roche-Gauchat-1925-480-2_chaud-1 Roche-Gauchat-1925-480-3_aujourdhui-1
1-OrmontDessus,OrmontDessus,jɛ fa̠ː tsoː wɛː,,,Il fait chaud aujourd‘hui,,,,yè fā tsṓ wḕ,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,OrmontDessus-Gauchat-1925-480-1_ilfait-1 OrmontDessus-Gauchat-1925-480-2_chaud-1 OrmontDessus-Gauchat-1925-480-3_aujourdhui-1
1-ChateaudOex,ChateaudOex,ĭ fa̠ː tsŏ wə,,,Il fait chaud aujourd‘hui,,,,ĭ fā tsŏ́ wė,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,ChateaudOex-Gauchat-1925-480-1_ilfait-1 ChateaudOex-Gauchat-1925-480-2_chaud-1 ChateaudOex-Gauchat-1925-480-3_aujourdhui-1
1-StGingolph,StGingolph,foː tsʊ v͉wɛ̆i͉,,,Il fait chaud aujourd‘hui,,,,fṓ tsoͮ v̱wĕ̀i̱,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,StGingolph-Gauchat-1925-480-1_ilfait-1 StGingolph-Gauchat-1925-480-2_chaud-1 StGingolph-Gauchat-1925-480-3_aujourdhui-1
1-Collombey,Collombey,e fei͉ tsŏ wɑ̝̃,,,Il fait chaud aujourd‘hui,,,,é féi̱ tsŏ́ waͦ̃,Gauchat-1925-480-1_ilfait Gauchat-1925-480-2_chaud Gauchat-1925-480-3_aujourdhui,Collombey-Gauchat-1925-480-1_ilfait-1 Collombey-Gauchat-1925-480-2_chaud-1 Collombey-Gauchat-1925-480-3_aujourdhui-1
