Grapheme	Graphemes	IPA	Frequency	Sound_Types	CLTS
^-	-	NULL
-$	-	NULL
--	--	+
_-_	_-_	+
_-$	_-	NULL
^-_-_	-_-_	NULL
^-_	-_	NULL
__	__	+
^-_-	--	NULL
_	_	+
^_	_	NULL
_$	_	NULL
^	NULL	NULL	29296		
y	y	j	3602	consonant	voiced palatal approximant consonant
ė	ė	ə	3654	vowel	unrounded mid central vowel
+	+	+	21760	marker	+
f	f	f	2914	consonant	voiceless labio-dental fricative consonant
ā	ā	aː	1767	vowel	long unrounded open front vowel
$	NULL	NULL	29760		
ĭ	ĭ	ɪ	1745	vowel	unrounded near-close near-front vowel
ṑ	ṑ	ɔː	475	vowel	long rounded open-mid back vowel
aͦ̄	aͦ̄	ɒː	585	vowel	long rounded open back vowel
éi̱	éi̱	ei	127	diphthong	from unrounded close-mid front to unrounded close front diphthong
ā́	ā́	ɑː	583	vowel	long unrounded open back vowel
è	è	ɛ	2846	vowel	unrounded open-mid front vowel
ṓ	ṓ	oː	509	vowel	long rounded close-mid back vowel
é	é	e	1125	vowel	unrounded close-mid front vowel
ĕ	ĕ	e	806	vowel	unrounded close-mid front vowel
i	i	i	1372	vowel	unrounded close front vowel
ë	ë	ɛ	541	vowel	unrounded open-mid front vowel
e	e	e	283	vowel	unrounded close-mid front vowel
eͥ	eͥ	e	232	vowel	unrounded close-mid front vowel
ĕ́i̱	ĕ́i̱	ei	89	diphthong	from unrounded close-mid front to unrounded close front diphthong
ḗ	ḗ	eː	943	vowel	long unrounded close-mid front vowel
ï	ï	ɪ	161	vowel	unrounded near-close near-front vowel
ṯ	ṯ	t	32	consonant	voiceless alveolar stop consonant
ĕ́	ĕ́	e	353	vowel	unrounded close-mid front vowel
a͜ó	a͜ó	ao	69	diphthong	from unrounded open front to rounded close-mid back diphthong
ăó	ăó	ao	1	diphthong	from unrounded open front to rounded close-mid back diphthong
aͦ͜ó	aͦ͜ó	ɒo	5	diphthong	from rounded open back to rounded close-mid back diphthong
a	a	a	6526	vowel	unrounded open front vowel
ĕ̀	ĕ̀	ɛ	4361	vowel	unrounded open-mid front vowel
ḕ	ḕ	ɛː	989	vowel	long unrounded open-mid front vowel
aͤ	aͤ	æ	532	vowel	unrounded near-open front vowel
aͤ̄	aͤ̄	æː	675	vowel	long unrounded near-open front vowel
ts	ts	ts	1795	consonant	voiceless alveolar sibilant affricate consonant
ŏ́	ŏ́	o	164	vowel	rounded close-mid back vowel
b	b	b	2073	consonant	voiced bilabial stop consonant
è̃ĩ̱	è̃ĩ̱	ɛ̃i	302	diphthong	from nasalized unrounded open-mid front to unrounded close front diphthong
ṣ	ṣ	θ	528	consonant	voiceless dental fricative consonant
ó	ó	o	487	vowel	rounded close-mid back vowel
oͮ	oͮ	o	118	vowel	rounded close-mid back vowel
ŏ̀	ŏ̀	ɔ	1855	vowel	rounded open-mid back vowel
ō	ō	oː	111	vowel	long rounded close-mid back vowel
t	t	t	4667	consonant	voiceless alveolar stop consonant
tṣ	tṣ	tθ	4	consonant	voiceless dental affricate consonant
oʋ̱	oʋ̱	ou	12	diphthong	from rounded close-mid back to rounded close back diphthong
tc̵	tc̵	tʃ	911	consonant	voiceless post-alveolar sibilant affricate consonant
óʋ̱	óʋ̱	ou	33	diphthong	from rounded close-mid back to rounded close back diphthong
ĩ	ĩ	ɪ̃	97	vowel	nasalized unrounded near-close near-front vowel
