ID	NUMBER	FRENCH	LATIN	CONCEPTICON_ID	CONCEPTICON_GLOSS
Gauchat-1925-480-1	1	il fait	facit		
Gauchat-1925-480-2	2	chaud	caldu	1286	HOT
Gauchat-1925-480-3	3	aujourd‘hui	hodie	1283	TODAY
Gauchat-1925-480-4	4	c’est	est	1579	BE
Gauchat-1925-480-5	5	un bon	bonu	1035	GOOD
Gauchat-1925-480-6	6	temps	tempus	952	WEATHER
Gauchat-1925-480-7	7	une	una	1493	ONE
Gauchat-1925-480-8	8	bonne	bona	1035	GOOD
Gauchat-1925-480-9	9	saison	satione	691	SEASON
Gauchat-1925-480-10	10	il pleut	plovet	1253	RAIN (RAINING)
Gauchat-1925-480-11	11	chaque	cata + quisque	98	ALL
Gauchat-1925-480-12	12	jour	diurnu	1260	DAY (24 HOURS)
Gauchat-1925-480-13	13	hier	heri	1174	YESTERDAY
Gauchat-1925-480-14	14	il y avait	habebat		
Gauchat-1925-480-15	15	peu de	paucu	1242	FEW
Gauchat-1925-480-16	16	rosée	rosata	1977	DEW
Gauchat-1925-480-17	17	il faisait	faciebat		
Gauchat-1925-480-18	18	froid	frigidu	1287	COLD
Gauchat-1925-480-19	19	la matinée	matutinata	1339	MORNING
Gauchat-1925-480-20	20	était	erat (est + ebat)		
Gauchat-1925-480-21	21	froide	frigida	1287	COLD
Gauchat-1925-480-22	22	les matinées	matutinatas	1339	MORNING
Gauchat-1925-480-23	23	sont	sunt	1579	BE
Gauchat-1925-480-24	24	froides	frigidas	1287	COLD
Gauchat-1925-480-25	25	la gelée	gelata	2034	FROST
Gauchat-1925-480-26	26	est dangereuse	dominiariu + osa	3466	DANGEROUS
Gauchat-1925-480-27	27	les gelées	gelatas	2034	FROST
Gauchat-1925-480-28	28	sont dangereuses	dominiariu + osas	3466	DANGEROUS
Gauchat-1925-480-29	29	la nuit	nocte	1233	NIGHT
Gauchat-1925-480-30	30	on voit	homo videt	1409	SEE
Gauchat-1925-480-31	31	la lune	luna	1313	MOON
Gauchat-1925-480-32	32	les étoiles	stellas	1430	STAR
Gauchat-1925-480-33	33	il ne faut pas	fallit		
Gauchat-1925-480-34	34	avoir	habere	773	HAVE
Gauchat-1925-480-35	35	peur	pavore	781	FEAR (FRIGHT)
Gauchat-1925-480-36	36	du tonnerre	tonitru	1150	THUNDER
Gauchat-1925-480-37	37	au mois	mese	1370	MONTH
Gauchat-1925-480-38	38	de février	febrariu	2037	FEBRUARY
Gauchat-1925-480-39	39	il y a	habet	2152	THERE IS OR THERE ARE
Gauchat-1925-480-40	40	de la neige	nive	784	SNOW
Gauchat-1925-480-41	41	de la glace	glacia	617	ICE
Gauchat-1925-480-42	42	il fait	facit	2152	THERE IS OR THERE ARE
Gauchat-1925-480-43	43	du vent	ventu (aura)	960	WIND
Gauchat-1925-480-44	44	l’hiver	hibernu	1471	WINTER
Gauchat-1925-480-45	45	arrive	adripat	1387	ARRIVE
Gauchat-1925-480-46	46	il est là	illac		
Gauchat-1925-480-47	47	je dois	debeo	971	MUST
Gauchat-1925-480-48	48	descendre	descendere	2014	GO DOWN (DESCEND)
Gauchat-1925-480-49	49	en ville	villa	930	VILLAGE
Gauchat-1925-480-50	50	il faut	fallit	971	MUST
Gauchat-1925-480-51	51	suivre	sequere	1085	FOLLOW
Gauchat-1925-480-52	52	le sentier	semitariu	2252	PATH
Gauchat-1925-480-53	53	jusqu’à	tantu + que	2753	UNTIL
Gauchat-1925-480-54	54	la croisée	cruciata		
Gauchat-1925-480-55	55	traverser	transversare	1742	TRAVERSE
Gauchat-1925-480-56	56	le champ	campu	212	FIELD
Gauchat-1925-480-57	57	le pré	pratu		
Gauchat-1925-480-58	58	passer	passare		
Gauchat-1925-480-59	59	vers la croix	cruce		
Gauchat-1925-480-60	60	le puits	puteu	954	WELL
Gauchat-1925-480-61	61	le „chable“	catabolu		
Gauchat-1925-480-62	62	c‘est	est	1579	BE
Gauchat-1925-480-63	63	un lieu	unu locu	723	PLACE (POSITION)
Gauchat-1925-480-64	64	dangereux	dominiariu + osu	3466	DANGEROUS
Gauchat-1925-480-65	65	la rive	ripa	666	RIVER
Gauchat-1925-480-66	66	est étroite	stricta	1404	STRAIGHT
Gauchat-1925-480-67	67	le grenier	granariu		
Gauchat-1925-480-68	68	et le „battoir“	batt + atoriu		
Gauchat-1925-480-69	69	sont tout près	pressu		
Gauchat-1925-480-70	70	du village	villaticu	930	VILLAGE
Gauchat-1925-480-71	71	allons-y	ambulemus	695	GO
Gauchat-1925-480-72	72	ensemble	insimul	2482	TOGETHER
Gauchat-1925-480-73	73	prends garde	cavica		
Gauchat-1925-480-74	74	de t‘“encoubler“	incopulare		
Gauchat-1925-480-75	75	le pont	ponte	1011	BRIDGE
Gauchat-1925-480-76	76	est en	est in	1579	BE
Gauchat-1925-480-77	77	pierre	petra	857	STONE
Gauchat-1925-480-78	78	en fer	ferru	621	IRON
Gauchat-1925-480-79	79	il est neuf	novu	1231	NEW
Gauchat-1925-480-80	80	large	largu	2531	BROAD
Gauchat-1925-480-81	81	le mur	muru	933	WALL (OF HOUSE)
Gauchat-1925-480-82	82	est commencé	cuminitiatu	3447	BEGIN OR START
