ID	NUMBER	GLOSS	FRENCH	LATIN	CONCEPTICON_ID	CONCEPTICON_GLOSS
Gauchat-1925-480-1	1	it is	il fait	facit		
Gauchat-1925-480-2	2	hot	chaud	caldu	1286	HOT
Gauchat-1925-480-3	3	today	aujourd‘hui	hodie	1283	TODAY
Gauchat-1925-480-4	4	it is	c’est	est	1579	BE
Gauchat-1925-480-5	5	a good	un bon	bonu	1035	GOOD
Gauchat-1925-480-6	6	time	temps	tempus	952	WEATHER
Gauchat-1925-480-7	7	a	une	una	1493	ONE
Gauchat-1925-480-8	8	good	bonne	bona	1035	GOOD
Gauchat-1925-480-9	9	season	saison	satione	691	SEASON
Gauchat-1925-480-10	10	it is raining	il pleut	plovet	1253	RAIN (RAINING)
Gauchat-1925-480-11	11	each	chaque	cata + quisque	98	ALL
Gauchat-1925-480-12	12	day	jour	diurnu	1260	DAY (24 HOURS)
Gauchat-1925-480-13	13	yesterday	hier	heri	1174	YESTERDAY
Gauchat-1925-480-14	14	there was	il y avait	habebat		
Gauchat-1925-480-15	15	little	peu de	paucu	1242	FEW
Gauchat-1925-480-16	16	dew	rosée	rosata	1977	DEW
Gauchat-1925-480-17	17	it was	il faisait	faciebat		
Gauchat-1925-480-18	18	cold	froid	frigidu	1287	COLD
Gauchat-1925-480-19	19	the morning	la matinée	matutinata	1339	MORNING
Gauchat-1925-480-20	20	was	était	erat (est + ebat)		
Gauchat-1925-480-21	21	cold	froide	frigida	1287	COLD
Gauchat-1925-480-22	22	the mornings	les matinées	matutinatas	1339	MORNING
Gauchat-1925-480-23	23	are	sont	sunt	1579	BE
Gauchat-1925-480-24	24	cold	froides	frigidas	1287	COLD
Gauchat-1925-480-25	25	the jelly	la gelée	gelata	2034	FROST
Gauchat-1925-480-26	26	is dangerous	est dangereuse	dominiariu + osa	3466	DANGEROUS
Gauchat-1925-480-27	27	jellies	les gelées	gelatas	2034	FROST
Gauchat-1925-480-28	28	are dangerous	sont dangereuses	dominiariu + osas	3466	DANGEROUS
Gauchat-1925-480-29	29	the night	la nuit	nocte	1233	NIGHT
Gauchat-1925-480-30	30	one sees	on voit	homo videt	1409	SEE
Gauchat-1925-480-31	31	the moon	la lune	luna	1313	MOON
Gauchat-1925-480-32	32	the stars	les étoiles	stellas	1430	STAR
